   Lieboch;46.97419;15.33578;334.1225891
;46.97419;15.33579;0.0
;46.97419;15.3358;0.0
;46.97419;15.33581;0.0
;46.9742;15.33582;0.0
;46.9742;15.33583;0.0
;46.9742;15.33584;0.0
;46.9742;15.33585;0.0
;46.97421;15.33585;0.0
;46.97421;15.33586;0.0
   Lieboch;46.97421;15.33587;334.1517029
;46.97422;15.33587;0.0
;46.97422;15.33588;0.0
;46.97422;15.33588;0.0
;46.97419;15.33595;0.0
;46.97411;15.33608;0.0
;46.97395;15.33634;0.0
;46.97392;15.33641;0.0
;46.97386;15.33649;0.0
;46.97361;15.33684;0.0
   Gemeinde Lieboch;46.97338;15.33719;333.5410767
;46.97326;15.33736;0.0
;46.97269;15.33815;0.0
;46.97253;15.3384;0.0
;46.97252;15.33842;0.0
   Gemeinde Lieboch;46.97235;15.33875;331.8555298
;46.97206;15.33932;0.0
;46.97177;15.33992;0.0
;46.97154;15.34051;0.0
;46.97139;15.34106;0.0
   Lieboch;46.9713;15.34147;331.5060425
;46.97122;15.34189;0.0
;46.97116;15.34226;0.0
;46.97113;15.34269;0.0
;46.97111;15.34303;0.0
   Lieboch;46.97105;15.34378;336.547699
;46.97105;15.34402;0.0
;46.97104;15.34436;0.0
;46.97096;15.34544;0.0
;46.97093;15.34574;0.0
   Lieboch;46.97076;15.34696;349.9384155
;46.97049;15.34886;0.0
;46.97039;15.34955;0.0
;46.97036;15.34992;0.0
;46.97035;15.35017;0.0
   Lieboch;46.97035;15.35045;353.5737305
;46.97035;15.35055;0.0
;46.97038;15.3509;0.0
;46.97041;15.35112;0.0
;46.97046;15.35138;0.0
   Lieboch;46.97054;15.35176;352.1199341
;46.97068;15.35234;0.0
;46.97087;15.35309;0.0
;46.97098;15.35352;0.0
;46.97103;15.3537;0.0
   Lieboch;46.97107;15.35389;362.8787842
;46.97111;15.35413;0.0
;46.97114;15.3543;0.0
;46.97117;15.35448;0.0
;46.97119;15.35463;0.0
   Lieboch;46.97125;15.35529;366.196991
;46.97124;15.35585;0.0
;46.97122;15.35632;0.0
;46.9712;15.35668;0.0
;46.97115;15.35707;0.0
   Gemeinde Lieboch;46.97106;15.35752;365.0054016
;46.97093;15.35821;0.0
;46.97071;15.35936;0.0
;46.97067;15.35948;0.0
;46.97059;15.35989;0.0
   Gemeinde Lieboch;46.97059;15.35989;366.6261902
;46.97058;15.35989;0.0
;46.97057;15.35989;0.0
;46.97056;15.3599;0.0
;46.97055;15.3599;0.0
   Gemeinde Lieboch;46.97054;15.35991;366.4996033
;46.97053;15.35991;0.0
;46.97052;15.35992;0.0
;46.97051;15.35993;0.0
;46.9705;15.35994;0.0
   Gemeinde Lieboch;46.97049;15.35994;366.3940125
;46.97049;15.35995;0.0
;46.97048;15.35996;0.0
;46.97048;15.35997;0.0
;46.97047;15.35998;0.0
   Gemeinde Lieboch;46.97046;15.35999;366.4064026
;46.97046;15.36;0.0
;46.97045;15.36001;0.0
;46.97045;15.36003;0.0
;46.97045;15.36004;0.0
   Gemeinde Lieboch;46.97045;15.36005;366.5148621
;46.97044;15.36006;0.0
;46.97044;15.36007;0.0
;46.97044;15.36008;0.0
;46.97044;15.36009;0.0
   Gemeinde Lieboch;46.97044;15.3601;366.5965881
;46.97044;15.36011;0.0
;46.97044;15.36012;0.0
;46.97044;15.36013;0.0
;46.97045;15.36014;0.0
   Spatenhof;46.97045;15.36016;366.7833252
;46.97045;15.36017;0.0
;46.97045;15.36018;0.0
;46.97046;15.36019;0.0
;46.97046;15.3602;0.0
   Spatenhof;46.97046;15.36021;366.947998
;46.97047;15.36022;0.0
;46.97047;15.36023;0.0
;46.97047;15.36024;0.0
;46.97048;15.36025;0.0
   Spatenhof;46.97049;15.36026;367.2021484
;46.97046;15.36047;0.0
;46.97046;15.36051;0.0
;46.97046;15.36054;0.0
;46.97047;15.36063;0.0
   Spatenhof;46.97047;15.36075;367.8283997
;46.97047;15.36083;0.0
;46.97046;15.36097;0.0
;46.97054;15.36117;0.0
;46.97072;15.36164;0.0
   Spatenhof;46.97079;15.36182;370.9322205
;46.97082;15.36195;0.0
;46.97094;15.36236;0.0
;46.97104;15.36285;0.0
;46.97161;15.36685;0.0
;46.97165;15.36703;0.0
;46.9717;15.36718;0.0
;46.97182;15.36744;0.0
;46.97182;15.36744;0.0
;46.97194;15.3677;0.0
;46.97207;15.36791;0.0
;46.97226;15.3682;0.0
;46.97248;15.36854;0.0
;46.97255;15.36869;0.0
;46.97265;15.36892;0.0
;46.97273;15.36913;0.0
;46.9728;15.36933;0.0
;46.97285;15.36955;0.0
;46.9729;15.3698;0.0
;46.97291;15.37002;0.0
   Gemeinde Unterpremstätten;46.97291;15.37021;344.8602295
;46.97289;15.37047;0.0
;46.97285;15.3707;0.0
;46.97285;15.3707;0.0
